Symbol,Close Price,Band,Margin,Tradable
SFL,697.7,20,5,Yes
ABB,5349,No Band,5,Yes
AEGISLOG,800.45,20,5,Yes
LAURUSLABS,894.85,No Band,5,Yes
ATUL,6467,20,5,Yes
KARURVYSYA,211.59,20,5,Yes
BAJAJELEC,592.4,20,5,Yes
FORCEMOT,19734,20,5,Yes
BAJFINANCE,1003.25,No Band,5,Yes
BALRAMCHIN,517.7,20,5,Yes
BANCOINDIA,690.35,20,5,Yes
FACT,1005.5,20,5,Yes
ABREL,1922.2,20,5,Yes
BASF,4672,20,5,Yes
BATAINDIA,1274,20,5,Yes
BEML,4340.1,20,5,Yes
BEL,402.9,No Band,5,Yes
BLUESTARCO,1924.1,No Band,5,Yes
CESC,168.11,20,5,Yes
CHAMBLFERT,545.45,20,5,Yes
SUNDARMFIN,4574.1,20,5,Yes
EXIDEIND,418.2,No Band,5,Yes
CIPLA,1559,No Band,5,Yes
CRISIL,5045.4,20,5,Yes
CGPOWER,792.2,No Band,5,Yes
DABUR,535.7,No Band,5,Yes
ARVIND,323.8,20,5,Yes
BHEL,232.19,No Band,5,Yes
HINDPETRO,402,No Band,5,Yes
IFCI,56.08,10,5,Yes
MRPL,127.87,20,5,Yes
CHENNPETRO,751.9,20,5,Yes
SBIN,831.55,No Band,5,Yes
SAIL,132.94,No Band,5,Yes
TITAN,3556.8,No Band,5,Yes
IDBI,93.29,20,5,Yes
DRREDDY,1310.4,No Band,5,Yes
EIDPARRY,1088.1,20,5,Yes
PGHL,6353.5,20,5,Yes
ELECTCAST,100.26,20,5,Yes
ESABINDIA,5096,20,5,Yes
EPL,223.09,20,5,Yes
FINCABLES,844.55,20,5,Yes
GODFRYPHLP,3644,20,5,Yes
GODREJIND,1221.8,20,5,Yes
KANSAINER,245.07,20,5,Yes
GHCL,571.7,20,5,Yes
HDFCBANK,966.85,No Band,5,Yes
HEROMOTOCO,5316,No Band,5,Yes
HFCL,76.46,No Band,5,Yes
HSCL,463.75,20,5,Yes
HCC,28.61,5,5,No
AGI,869.45,20,5,Yes
HINDZINC,462.25,No Band,5,Yes
HMT,,5,,No
INDIAGLYCO,837.85,20,5,Yes
INFY,1511.3,No Band,5,Yes
INGERRAND,3909.1,20,5,Yes
IONEXCHANG,426.55,20,5,Yes
JSWSTEEL,1115.2,No Band,5,Yes
KAJARIACER,1235.3,20,5,Yes
WHIRLPOOL,1361.7,20,5,Yes
KIRLOSBROS,2040.6,20,5,Yes
KOTAKBANK,2021.7,No Band,5,Yes
KSB,855.7,20,5,Yes
TRENT,5147.5,No Band,5,Yes
LMW,14995,20,5,Yes
LICHSGFIN,570.05,No Band,5,Yes
LUPIN,2051.8,No Band,5,Yes
RAMCOCEM,1040,20,5,Yes
MAHSEAMLES,629.35,20,5,Yes
MAHSCOOTER,17962,20,5,Yes
MFSL,1564.1,No Band,5,Yes
MRF,150890,20,5,Yes
NCC,216.14,No Band,5,Yes
VEDL,461.3,No Band,5,Yes
GRASIM,2843,No Band,5,Yes
PEL,1145,20,5,Yes
ONGC,235.09,No Band,5,Yes
RELIANCE,1405.3,No Band,5,Yes
PIDILITIND,3074,No Band,5,Yes
BIRLACORPN,1290.7,20,5,Yes
SURYAROSNI,294.9,20,5,Yes
PRSMJOHNSN,149.5,20,5,Yes
RALLIS,339.25,20,5,Yes
PATANJALI,600.3,No Band,5,Yes
JINDALSAW,210.05,20,5,Yes
JKLAKSHMI,913.9,20,5,Yes
SHREECEM,29575,No Band,5,Yes
RELINFRA,,5,,No
TATAPOWER,396.05,No Band,5,Yes
SUNDRMFAST,1053.9,20,5,Yes
SUNFLAG,265.75,20,5,Yes
SPLPETRO,804.4,20,5,Yes
TATAELXSI,5707,No Band,5,Yes
ACC,1866,20,5,Yes
THERMAX,3318.8,20,5,Yes
THOMASCOOK,173.47,20,5,Yes
TORNTPHARM,3535.5,No Band,5,Yes
AMBUJACEM,573.65,No Band,5,Yes
HINDALCO,755.95,No Band,5,Yes
PGHH,13369,20,5,Yes
BBOX,491.25,5,5,No
FEDERALBNK,196.41,No Band,5,Yes
TATASTEEL,172.02,No Band,5,Yes
SKFINDIA,4795.7,20,5,Yes
ASHOKLEY,134.54,No Band,5,Yes
CUMMINSIND,4111,No Band,5,Yes
TATACOMM,1713.8,20,5,Yes
ABBOTINDIA,30930,20,5,Yes
BAJAJHLDNG,13525,20,5,Yes
BHARATFORG,1263.2,No Band,5,Yes
ESCORTS,3671.1,20,5,Yes
LT,3667.8,No Band,5,Yes
BOSCHLTD,39920,No Band,5,Yes
BPCL,318.25,No Band,5,Yes
SIEMENS,3313.8,No Band,5,Yes
TATAMOTORS,713.25,No Band,5,Yes
VOLTAS,1414.6,No Band,5,Yes
GESHIP,1058.15,20,5,Yes
DEEPAKFERT,1425.3,20,5,Yes
GRWRHITECH,3428.9,20,5,Yes
GLAXO,2738.2,20,5,Yes
GNFC,507.9,20,5,Yes
SANOFI,5025,20,5,Yes
PFIZER,5140.5,20,5,Yes
GSFC,210.46,20,5,Yes
HINDUNILVR,2580.9,No Band,5,Yes
AKZOINDIA,3380.5,20,5,Yes
TATACHEM,982.55,No Band,5,Yes
NESTLEIND,1204.2,No Band,5,Yes
TATACONSUM,1092.1,No Band,5,Yes
ASIANPAINT,2480.9,No Band,5,Yes
BRITANNIA,6202.5,No Band,5,Yes
COLPAL,2355.8,No Band,5,Yes
EIHOTEL,401.05,20,5,Yes
INDHOTEL,778.65,No Band,5,Yes
CASTROLIND,202.9,20,5,Yes
ITC,413.1,No Band,5,Yes
APOLLOTYRE,486.25,20,5,Yes
CEATLTD,3445.9,20,5,Yes
FINPIPE,219.17,20,5,Yes
TATAINVEST,7039,20,5,Yes
SHAILY,2388.6,20,5,Yes
BBTC,1939.1,20,5,Yes
BALKRISIND,2466.2,20,5,Yes
VTL,436.9,20,5,Yes
PHOENIXLTD,1616,No Band,5,Yes
SWANENERGY,460.9,20,5,Yes
SRF,2951.8,No Band,5,Yes
ZENSARTECH,819.75,20,5,Yes
SARDAEN,617.7,20,5,Yes
SANDUMA,480.2,20,5,Yes
CHOLAHLDNG,1955.8,20,5,Yes
EICHERMOT,6927.5,No Band,5,Yes
GMMPFAUDLR,1149.9,20,5,Yes
KIRLPNU,1245.3,20,5,Yes
NESCO,1480.5,20,5,Yes
RESPONIND,201.63,20,5,Yes
WESTLIFE,755.65,20,5,Yes
ZEEL,115.49,20,5,Yes
ELECON,624.5,20,5,Yes
GABRIEL,1317.2,20,5,Yes
IFBIND,1562.9,20,5,Yes
SCHAEFFLER,4057.9,20,5,Yes
GRINDWELL,1652.9,20,5,Yes
STYRENIX,2560.5,20,5,Yes
BAYERCROP,5220,20,5,Yes
COROMANDEL,2265.6,20,5,Yes
DEEPAKNTR,1787.3,20,5,Yes
PCBL,390.55,20,5,Yes
SUDARSCHEM,1410.8,20,5,Yes
ALKYLAMINE,2074.6,20,5,Yes
ASTRAZEN,9016.5,20,5,Yes
JBCHEPHARM,1683.8,20,5,Yes
TI,479.8,20,5,Yes
WIPRO,254.01,No Band,5,Yes
DHANUKA,1545.7,20,5,Yes
GILLETTE,9909,20,5,Yes
APOLLOHOSP,7852.5,No Band,5,Yes
BERGEPAINT,536.75,20,5,Yes
GRAPHITE,544.75,20,5,Yes
ITDCEM,826.2,20,5,Yes
GARFIBRES,803.9,20,5,Yes
HEG,510.5,20,5,Yes
SUPREMEIND,4593.9,No Band,5,Yes
CANFINHOME,777.1,20,5,Yes
SHRIRAMFIN,618.1,No Band,5,Yes
CHOLAFIN,1583.1,No Band,5,Yes
AWL,260.65,20,5,Yes
MANYAVAR,733.3,20,5,Yes
UPL,702.7,No Band,5,Yes
SUNTECK,445.15,20,5,Yes
EUREKAFORB,579.35,20,5,Yes
MSUMI,49.35,20,5,Yes
LLOYDSME,1313.7,20,5,Yes
CAMPUS,274.9,20,5,Yes
RAINBOW,1453.5,20,5,Yes
AVANTIFEED,729.4,20,5,Yes
ADANIENT,2399.4,No Band,5,Yes
LICI,882.55,No Band,5,Yes
NAVA,714.5,20,5,Yes
PRUDENT,2994.8,20,5,Yes
DELHIVERY,475.6,No Band,5,Yes
PARADEEP,168.63,20,5,Yes
ETHOSLTD,2424,20,5,Yes
EMUDHRA,689.75,20,5,Yes
AETHER,734.9,20,5,Yes
CARBORUNIV,1001.6,20,5,Yes
MMTC,66.09,10,5,Yes
HINDCOPPER,289.45,20,5,Yes
NLCINDIA,262.21,20,5,Yes
WELSPUNLIV,124.22,20,5,Yes
PRICOLLTD,527.3,20,5,Yes
ASAHIINDIA,887.75,20,5,Yes
ANANTRAJ,595.15,20,5,Yes
SYRMA,817.65,20,5,Yes
USHAMART,407.1,20,5,Yes
TMB,430.05,20,5,Yes
HONAUT,36915,20,5,Yes
HBLENGINE,886.95,20,5,Yes
MOTHERSON,109.89,No Band,5,Yes
HAVELLS,1614.8,No Band,5,Yes
SYMPHONY,951.5,20,5,Yes
PPLPHARMA,205.63,No Band,5,Yes
WEBELSOLAR,1275.3,10,5,Yes
TTKPRESTIG,678.15,20,5,Yes
BIKAJI,797.4,20,5,Yes
MEDANTA,1360.3,20,5,Yes
KEI,4179.7,No Band,5,Yes
ACI,714.05,20,5,Yes
FIVESTAR,544.45,20,5,Yes
KAYNES,7183,No Band,5,Yes
HNDFDS,542.75,20,5,Yes
RUSTOMJEE,607.5,10,5,Yes
INOXGREEN,175.25,5,5,No
KFINTECH,1100.3,No Band,5,Yes
CCL,917,20,5,Yes
TVSHLTD,13296,20,5,Yes
RATNAMANI,2422.4,20,5,Yes
VESUVIUS,529.2,20,5,Yes
ICIL,294.52,20,5,Yes
TRIDENT,29.73,20,5,Yes
ALOKINDS,18.82,20,5,Yes
AARTIPHARM,912.45,20,5,Yes
KITEX,202.77,5,5,No
ELGIEQUIP,467.2,20,5,Yes
NSLNISP,45.83,20,5,Yes
TIMKEN,3049.3,20,5,Yes
DIACABS,156.88,10,5,Yes
PRAJIND,390.4,20,5,Yes
KPIL,1284,20,5,Yes
SAFARI,2282.6,20,5,Yes
AVALON,963.8,20,5,Yes
DCMSHRIRAM,1225.4,20,5,Yes
3MINDIA,30585,20,5,Yes
JMFINANCIL,178.03,20,5,Yes
LINDEINDIA,6510.5,20,5,Yes
MANKIND,2569.8,No Band,5,Yes
SCI,218.54,20,5,Yes
ITI,323.05,10,5,Yes
NFL,99.36,20,5,Yes
PIIND,3711.8,No Band,5,Yes
MASTEK,2499.5,20,5,Yes
POONAWALLA,441.85,20,5,Yes
SENCO,373.6,10,5,Yes
JIOFIN,315.45,No Band,5,Yes
VINATIORGA,1711.8,20,5,Yes
AARTIIND,390.6,20,5,Yes
NETWEB,2842.3,20,5,Yes
GAEL,109.64,20,5,Yes
RCF,156.03,20,5,Yes
SHRIPISTON,2666.3,20,5,Yes
YATHARTH,784.95,20,5,Yes
MARKSANS,176.11,20,5,Yes
KIOCL,459.75,20,5,Yes
REDTAPE,140.7,20,5,Yes
IPCALAB,1311.5,20,5,Yes
SBFC,106.84,20,5,Yes
CONCORDBIO,1621.2,20,5,Yes
NEULANDLAB,16221,20,5,Yes
TVSSCS,134.66,20,5,Yes
BSE,2199.3,No Band,5,Yes
DMART,4696.2,No Band,5,Yes
HUDCO,224.17,No Band,5,Yes
AUBANK,711.2,No Band,5,Yes
CDSL,1549.4,No Band,5,Yes
TEJASNET,615.35,20,5,Yes
ERIS,1661.9,20,5,Yes
COCHINSHIP,1821.6,20,5,Yes
DIXON,18110,No Band,5,Yes
SIS,352,20,5,Yes
SUNPHARMA,1610.5,No Band,5,Yes
CAPLIPOINT,2247.4,20,5,Yes
JLHL,1456.6,20,5,Yes
RRKABEL,1247.4,20,5,Yes
STARCEMENT,272.55,20,5,Yes
ZAGGLE,350.05,20,5,Yes
AUROPHARMA,1091.6,No Band,5,Yes
NUVAMA,6378.5,No Band,5,Yes
NATCOPHARM,852.15,20,5,Yes
ABCAPITAL,289.95,No Band,5,Yes
SIGNATURE,1143.1,20,5,Yes
JSWINFRA,326.2,10,5,Yes
MPHASIS,2950.7,No Band,5,Yes
GANESHHOUC,873.5,20,5,Yes
NMDC,75.44,No Band,5,Yes
MAXESTATES,467.8,20,5,Yes
BLUEJET,715.05,5,5,No
CELLO,626.15,20,5,Yes
HONASA,306.05,20,5,Yes
ASKAUTOLTD,534.6,10,5,Yes
IREDA,152.94,No Band,5,Yes
TATATECH,711.2,No Band,5,Yes
BLUEDART,5732.5,20,5,Yes
SBILIFE,1818.8,No Band,5,Yes
ICICIGI,1912.5,No Band,5,Yes
INDIASHLTR,891.95,20,5,Yes
DOMS,2598.8,20,5,Yes
GODREJAGRO,731.5,20,5,Yes
MASFIN,319.65,20,5,Yes
GICRE,369.7,20,5,Yes
INOXINDIA,1201.3,20,5,Yes
IEX,147.38,No Band,5,Yes
TIINDIA,3404.4,No Band,5,Yes
NAM-INDIA,833.3,20,5,Yes
HAPPYFORGE,947.85,10,5,Yes
HDFCLIFE,774.35,No Band,5,Yes
NIACL,192.8,20,5,Yes
AZAD,1587.5,20,5,Yes
INNOVACAP,860.85,20,5,Yes
INDIACEM,400.7,10,5,Yes
JYOTICNC,932.35,20,5,Yes
JKTYRE,376.75,20,5,Yes
JUBLPHARMA,1120.4,20,5,Yes
APOLLO,343.8,5,5,No
NEWGEN,885.2,20,5,Yes
AMBER,8298,No Band,5,Yes
PRIVISCL,2339.6,20,5,Yes
GALAXYSURF,2359.6,20,5,Yes
OPTIEMUS,649.45,20,5,Yes
ASTERDM,619.9,20,5,Yes
JSFB,467.3,20,5,Yes
HGINFRA,1026.15,20,5,Yes
BDL,1605,No Band,5,Yes
BANDHANBNK,162.67,No Band,5,Yes
ENTERO,1145.7,20,5,Yes
SUNDARMHLD,626.55,20,5,Yes
HAL,4840,No Band,5,Yes
ISEC,,,,Yes
MIDHANI,410.95,20,5,Yes
LEMONTREE,176.19,20,5,Yes
GENUSPOWER,345.55,10,5,Yes
JUNIPER,296.65,10,5,Yes
E2E,3016.5,5,5,No
RELAXO,488.8,20,5,Yes
SHILPAMED,826.3,5,5,No
ADANIGREEN,987.85,No Band,5,Yes
FINEORG,4833.2,20,5,Yes
RITES,275.14,20,5,Yes
VARROC,631.15,20,5,Yes
HDFCAMC,5779.5,No Band,5,Yes
CREDITACC,1323.6,20,5,Yes
BHARTIHEXA,1736.2,20,5,Yes
